case_name,assay_category,module_category,n,equivalent_count,median_native_execution_seconds,median_openhcs_execution_seconds,median_native_total_phase_seconds,median_openhcs_total_phase_seconds,median_native_peak_memory_mb,median_openhcs_peak_memory_mb,median_speedup,median_total_phase_speedup,speedup_target,meets_execution_speedup_target,meets_total_phase_speedup_target,meets_speedup_target,min_parity_accuracy
ExampleColocalization,,,1,1,48.93594650994055,3.413494431064464,48.956787494942546,14.438811400090344,,,14.336026467364226,3.3906383384602017,4.0,True,False,False,1.0
ExampleCometAssay,,,1,1,15.649703019065782,3.587978590046987,15.729314401978627,4.60229231917765,,,4.361704683098691,3.417713024536691,4.0,True,False,False,1.0
ExampleFly,,,1,1,9.218601097003557,1.6629023789428174,9.253598217968829,5.726384025881998,,,5.543681465453336,1.6159583737563874,4.0,True,False,False,1.0
ExampleFlyURL,,,1,1,5.407788787037134,0.5974123490741476,5.432282809051685,4.623115024995059,,,9.052020426792263,1.1750265307442769,4.0,True,False,False,1.0
ExampleHuman,,,1,1,5.046770330984145,0.5667078649858013,5.111017421004362,6.985896334168501,,,8.905417840125779,0.7316194195447796,4.0,True,False,False,1.0
ExampleIlluminationCorrection_Example1_AllMethod,,,1,1,23.845759848016314,0.2980975710088387,23.87481206213124,0.582548065809533,,,79.99313703669621,40.983420018661995,4.0,True,True,True,1.0
ExampleIlluminationCorrection_Example1_EachMethod,,,1,1,4.95255577005446,0.09580071503296494,4.96288851602003,0.34525513590779155,,,51.696438469695025,14.374553771578029,4.0,True,True,True,1.0
ExampleIlluminationCorrection_Example2,,,1,1,49.62061384797562,2.151178944041021,49.63224565295968,2.510700781829655,,,23.066706740241038,19.7682838242439,4.0,True,True,True,1.0
ExampleIlluminationCorrection_Example3,,,1,1,2.5101164190564305,0.1648959550075233,2.5214331570314243,0.5215223538689315,,,15.222425674067672,4.834755669294108,4.0,True,True,True,1.0
ExampleImagingFlowCytometryObjectsInGrid,,,1,1,74.15655832295306,17.180278953979723,74.4169274000451,98.54455217288341,,,4.316376848221959,0.7551602372649725,4.0,True,False,False,1.0
ExampleNeighbors,,,1,1,4.998261964996345,0.4857649850891903,5.075275278068148,10.148250882979482,,,10.289465314340482,0.5001133039172627,4.0,True,False,False,1.0
ExamplePercentPositive,,,1,1,2.9019863170105964,0.3711086760740727,2.9169743879465386,1.6260886618401855,,,7.819774917984845,1.7938593733539132,4.0,True,False,False,1.0
ExampleSpeckles,,,1,1,3.7868143749656156,0.6138123240089044,3.7957209210144356,1.3598396859597415,,,6.1693358488362335,2.7913002982667834,4.0,True,False,False,1.0
ExampleTrackObjects,,,1,1,10.91889769793488,1.9784225759794936,11.150247023906559,2.9135002609109506,,,5.518991660580432,3.8270966278960494,4.0,True,False,False,1.0
ExampleTumor,,,1,1,5.267196976928972,0.7297991029918194,5.318237486877479,1.1830131680471823,,,7.217324542241886,4.495501513018975,4.0,True,True,True,1.0
ExampleUntangleAndStraightenWorms,,,1,1,3.9757227909285575,0.6183352529769763,3.982490416034125,1.0110589710529894,,,6.42972040133153,3.9389299042433437,4.0,True,False,False,1.0
ExampleUntangleWorms,,,1,1,3.7546325019793585,0.5133500879164785,3.7662073499523103,0.9851514267502353,,,7.3139804401674375,3.82297304524653,4.0,True,False,False,1.0
ExampleUntangleWormsBrightField,,,1,1,8.755023359903134,1.7513958779163659,8.764027810888365,2.947034805547446,,,4.998883159596663,2.9738460483707607,4.0,True,False,False,1.0
ExampleVitra,,,1,1,4.7962324189720675,0.7541671210201457,4.869966537924483,6.284405819140375,,,6.359641365012448,0.7749287169030455,4.0,True,False,False,1.0
ExampleWoundHealing,,,1,1,900.0,1.072329582995735,900.0,1.4437277958495542,,,839.2942004693155,623.3862107436946,4.0,True,True,True,1.0
